Date,BUGZ,BURZ,CABN,CABZ,CRWZ,DONZ,FNGZ,GRNZ,PI2Z,PIEZ,PPOE,PPON,PPOZ,QADZ,UBOZ,Station Count
1991-09-11,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-09-12,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-09-13,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-14,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-15,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-16,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-17,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-18,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-19,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-20,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-21,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-22,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-23,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-24,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-25,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-26,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-27,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-28,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-29,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-09-30,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-01,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-02,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-03,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-04,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-05,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-06,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-07,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-08,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-09,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-10,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-11,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-12,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-13,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-14,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-15,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-16,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-17,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-18,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-19,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-20,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-21,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-22,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-23,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-24,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-25,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-26,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-27,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-28,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-29,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-30,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-10-31,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-01,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-02,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-03,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-04,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-05,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-06,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-07,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-08,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
